,POST_NAME,POST_DETAIL,STATUS,BOARD_ID,BOARD,CREATED,ETA,CATEGORY,TAGS
0,Scheduler : Adapt to the time zone,I would like to manage the time zone of scheduler,under review,5fe377439f49cd19e0ccc9cc,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
1,Add embed doc,allow all user to see doc from naas launcher,open,5fe20f8eaec9ad63ff081f0c,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
2,naas_drivers.cityfalcon() is down,"Due to the downtime time of city falcon service  ==> ""SITE UNDER MAINTENANCE""",open,5fe1dc8051be0744615fbece,Incident report,2020-11-17T10:58:37.822Z,Not assigned,Not assigned,Not assigned
3,PDF to MP3,I'm able to convert one text PDF (eBook) to a MP3 audio,in progress,5fe06cf5647d5c54c92a2eb5,Requests,2020-11-17T11:12:51.981Z,Not assigned,File_parsing,Awesome-notebooks
4,Convert docx to html,I can convert one docx to html,in progress,5fe06c9bccfb9d4462edbc86,Requests,2020-11-17T11:12:51.981Z,Not assigned,File_parsing,Awesome-notebooks
5,Reset cell number to null,Reset cell number to null when kernel is restarted. Following the methods that google collab and jupyter notebook is following its easier to see the cell value has been set to null whenever the kernel is restarted.,open,5fdb25bf751aa3699b1ed72a,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
6,Email Editor,Allow user to build beatyfull email with https://unlayer.com/,under review,5fda5334751aa3699b17baab,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
7,Edit CSV in the Naas interface,"I would like to be able to edit CSV in Jupyter :)
This module seems to do it.
https://github.com/krassowski/jupyterlab-spreadsheet-editor",planned,5fd9d8798fc9e829f6cedd49,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
8,Access to Naas with secured method such as double auth - MFA,"To secure access to users' code and their data in memory, access could be secured with double auth and MFA. 
The double auth could be a setting for a user who makes the choice or NOT of double auth.",open,5fd7610b7e0d6730004b4186,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
9,Airtable get view,I can not access to my view if it's filter on airtable,open,5fcb481570b59138e6e43e17,Incident report,2020-11-17T10:58:37.822Z,Not assigned,Not assigned,Not assigned
10,Logs not available in Naas Manager,I can not have access to my scheduler logs detailed to debug it.,open,5fcb47cf6b9eeb390429ae91,Incident report,2020-11-17T10:58:37.822Z,Not assigned,Not assigned,Not assigned
11,Add Github link in the templates,Would be great to have the link to Github from the templates if users want to submit PRs,open,5fc8a61e1d3a8c187e9dcf26,Requests,2020-11-17T11:12:51.981Z,February 2021,Not assigned,Not assigned
12,Clear message the _awesome-notebooks folder is read only,add a message in all the notebooks templates that you  need to copy it out of the folder,open,5fc8a5d8b3939e423d1be3dc,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
13,Naas - migrate prod name,"When i change a name of folder or file in dev, i would like to reflect it in prod without deleting and creating again",open,5fc66913b294366ca8585a51,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
14,Email - virtual Mailbox,"Allow any users, to create and fetch virtual mailbox",open,5fc27b1fae5c592101036c78,Requests,2020-11-17T11:12:51.981Z,Not assigned,Not assigned,Not assigned
